Symbol,Date,Last_Close,Entry,SL,Risk_Pct,Target_15pct,Target_20pct,Target_RR6,RR_at_15pct,RR_at_20pct,Edge,Near_52W_Dist_Pct,In_Fibo,Volume,Contraction_High,Contraction_Low,Reason,Weekly_Score
SUNPHARMA,2026-08-06,1951.0,1972.14,1926.14,2.33,2267.96,2366.56,2248.11,6.43,8.58,FIBO 0.5-0.6,4.69,True,1864891,1968.2,1930.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
NIVABUPA,2026-08-06,87.18,88.18,86.09,2.37,101.4,105.81,100.71,6.33,8.44,FIBO 0.5-0.6,4.41,True,540098,88.0,86.26,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
ICICIBANK,2026-08-06,1457.5,1462.92,1427.94,2.39,1682.36,1755.5,1672.81,6.27,8.36,52W High,1.52,False,14954726,1460.0,1430.8,WEEKLY OK + DAILY CONTRACTION EDGE=52W,4
YESBANK,2026-08-06,22.68,23.2,22.63,2.42,26.68,27.84,26.57,6.19,8.26,UNKNOWN,12.02,False,37986003,23.15,22.68,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,4
JSWENERGY,2026-08-06,561.5,573.14,558.83,2.5,659.12,687.77,659.03,6.01,8.01,FIBO 0.5-0.6,9.05,True,989604,572.0,559.95,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
JBMA,2026-08-06,657.55,667.98,650.85,2.57,768.18,801.58,770.81,5.85,7.8,UNKNOWN,16.77,False,167082,666.65,652.15,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,4
JSWCEMENT,2026-08-06,132.62,134.72,131.04,2.73,154.93,161.66,156.81,5.49,7.32,UNKNOWN,18.21,False,1142669,134.45,131.3,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,4
TITAGARH,2026-08-06,861.65,869.44,845.01,2.81,999.85,1043.32,1016.01,5.34,7.12,FIBO 0.5-0.6,11.26,True,418636,867.7,846.7,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
KPIL,2026-08-06,1294.1,1302.6,1264.67,2.91,1497.99,1563.12,1530.21,5.15,6.87,UNKNOWN,12.54,False,198579,1300.0,1267.2,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,4
POLYCAB,2026-08-06,9315.0,9333.63,9051.86,3.02,10733.67,11200.36,11024.25,4.97,6.62,FIBO 0.5-0.6,8.01,True,221520,9315.0,9070.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
GMRAIRPORT,2026-08-06,106.59,108.11,104.82,3.04,124.32,129.73,127.82,4.94,6.58,FIBO 0.5-0.6,7.83,True,5850034,107.89,105.03,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
ASIANPAINT,2026-08-06,2755.0,2812.91,2726.94,3.06,3234.85,3375.5,3328.79,4.91,6.54,FIBO 0.5-0.6,7.73,True,797083,2807.3,2732.4,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
ALKEM,2026-08-06,5597.5,5721.42,5544.89,3.09,6579.63,6865.7,6780.61,4.86,6.48,FIBO 0.5-0.6,5.66,True,109477,5710.0,5556.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
PETRONET,2026-08-06,276.95,285.57,276.4,3.21,328.41,342.68,340.61,4.67,6.23,FIBO 0.5-0.6,15.15,True,1356475,285.0,276.95,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
FORTIS,2026-08-06,920.0,943.88,913.22,3.25,1085.47,1132.66,1127.87,4.62,6.16,UNKNOWN,16.69,False,815182,942.0,915.05,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,4
RECLTD,2026-08-06,361.5,373.04,360.78,3.29,429.0,447.65,446.65,4.56,6.08,FIBO 0.5-0.6,7.43,True,3944657,372.3,361.5,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
PREMIERENE,2026-08-06,1041.7,1056.11,1021.15,3.31,1214.52,1267.33,1265.83,4.53,6.04,FIBO 0.5-0.6,8.14,True,589524,1054.0,1023.2,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
TATACOMM,2026-08-06,1735.5,1787.57,1718.06,3.89,2055.7,2145.08,2204.63,3.86,5.14,UNKNOWN,17.75,False,204750,1784.0,1721.5,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,4
KPRMILL,2026-08-06,1086.0,1096.59,1051.89,4.08,1261.08,1315.91,1364.77,3.68,4.91,FIBO 0.5-0.6,18.59,True,169826,1094.4,1054.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
GLENMARK,2026-08-06,2270.0,2294.58,2195.6,4.31,2638.77,2753.5,2888.46,3.48,4.64,FIBO 0.5-0.6,8.25,True,556267,2290.0,2200.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
CCL,2026-08-06,1131.2,1154.1,1103.79,4.36,1327.22,1384.92,1456.0,3.44,4.59,UNKNOWN,8.94,False,177800,1151.8,1106.0,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,4
VTL,2026-08-06,602.2,614.73,587.82,4.38,706.94,737.67,776.16,3.43,4.57,UNKNOWN,12.47,False,166411,613.5,589.0,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,4
TEJASNET,2026-08-06,522.3,544.39,519.16,4.63,626.04,653.26,695.75,3.24,4.32,FIBO 0.5-0.6,19.27,True,681461,543.3,520.2,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
STARHEALTH,2026-08-06,573.65,598.54,570.06,4.76,688.33,718.25,769.47,3.15,4.2,FIBO 0.5-0.6,8.2,True,366660,597.35,571.2,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
