Symbol,Entry_Date,Entry_Price,SL,Risk_Pct,Target_RR6,Target_15pct,Quantity,Edge,Exit_Date,Exit_Price,Exit_Reason,Holding_Days,Partial_Booked,PnL,PnL_Pct,Max_Favorable_Pct,Max_Adverse_Pct
RELIANCE,2025-04-25,1308.61,1282.83,1.97,1463.31,1504.9,193,UNKNOWN,2025-05-09,1376.51,Trail 10 SMA,17,False,12586.35,4.98,10.0,-1.57
RELIANCE,2025-07-30,1423.04,1380.23,3.01,1679.88,1679.88,118,UNKNOWN,2025-08-01,1393.0,Trail 10 SMA,5,False,-3876.69,-2.31,0.02,-2.87
RELIANCE,2025-08-20,1423.84,1367.36,3.97,1762.74,1762.74,89,UNKNOWN,2025-08-26,1384.21,Trail 10 SMA,8,False,-3777.38,-2.98,0.57,-2.97
RELIANCE,2025-11-18,1526.75,1502.49,1.59,1672.3,1755.76,207,52W High,2025-12-02,1545.53,Trail 10 SMA,15,False,3251.41,1.03,3.57,-1.06
RELIANCE,2025-12-31,1564.12,1534.72,1.88,1740.51,1798.74,171,FIBO 0.5-0.6,2026-01-06,1533.96,SL Hit,7,False,-5687.97,-0.57,3.05,-4.34
